search_query,recipient,amount,description,agency,start_date
"elevator actuator","PARKER-HANNIFIN CORPORATION",190474.35,"ELEVATOR ACTUATOR SERVO TEST PN 3136-17","Department of Defense",2023-03-06
"elevator actuator","MID-AMERICA AEROTECH; LLC",108575.82,"REMANUFACTURE OF THE B-52 ELEVATOR ACTUATOR PCU","Department of Defense",2025-03-25
"rudder actuator","MOOG INC",1853017.1,"REMANUFACTURE OF F-15 RUDDER ACTUATOR","Department of Defense",2018-04-18
"rudder actuator","MOOG INC",1522289.16,"REMANUFACTURE OF F-15 RUDDER ACTUATOR","Department of Defense",2017-02-23
"rudder actuator","BELL BOEING JOINT PROJECT OFFICE",938663.0,"NON-RECURRING ENGINEERING (NRE)FOR RUDDER ACTUATOR","Department of Defense",2019-08-26
"rudder actuator","MOOG INC",594322.68,"REMANUFACTURE OF F-15 RUDDER ACTUATOR.","Department of Defense",2019-03-27
"rudder actuator","LEONARDO SPA",236721.0,"REPAIR OF RUDDER ACTUATORS FOR HC27J AIRCRAFT.","Department of Homeland Security",2023-03-10
"auxiliary power unit APU","L3HARRIS TECHNOLOGIES INTEGRATED SYSTEMS",74946005.17,"AUXILIARY POWER UNIT (APU) A-KIT","Department of Defense",2015-03-30
"auxiliary power unit APU","AAR GOVERNMENT SERVICES; INC.",906415.2,"THE PURPOSE OF THIS TO IS TO PROVIDE CONTRACT YEAR 03 FUNDING FOR THE AUXILIARY POWER UNIT (APU) P-1","Department of Defense",2023-01-03
"auxiliary power unit APU","DEFENSE SYSTEMS AND SOLUTIONS",730443.0,"H-60L 35KVA GENERATOR AUXILIARY POWER UNIT (APU) DESIGN AND INTEGRATION; HARDWARE OF THE SYSTEMS AND","Department of Defense",2019-09-27
"auxiliary power unit APU","SSI TECHNOLOGY INC",390000.0,"AUXILIARY POWER UNIT (APU); M88 TANK RECOVERY VEHICLE; 6115-01-465-8922; QTY. 12 WITH FIRST-ARTICLE ","Department of Defense",2020-09-18
"auxiliary power unit APU","HONEYWELL INTERNATIONAL INC.",275834.0,"PROPOSAL # PCOL-2023006-69; CONTRACT # FA8641-24-C-B002; RED AUXILIARY POWER UNIT (APU) AND GROUND S","Department of Defense",2024-05-31
"aircraft window","STEFAN SYDOR OPTICS INC",150000.0,"OPTICAL AIRCRAFT WINDOW; 17" X 1.25"","National Aeronautics and Space Administration",2022-01-21
"aircraft window","EZCLEAR LLC",50584.76,"POLISH;PLASTIC;ACRYLIC WINDOW REPAIR KIT FOR REMOVAL OF SCRATCHES AND BLEMISHES FROM ACRYLIC AIRCRAF","General Services Administration",2022-05-06
"aircraft window","EZCLEAR LLC",37938.57,"POLISH;PLASTIC;ACRYLIC WINDOW REPAIR KIT FOR REMOVAL OF SCRATCHES AND BLEMISHES FROM ACRYLIC AIRCRAF","General Services Administration",2021-11-02
"aircraft window","EZCLEAR LLC",37938.57,"POLISH;PLASTIC;ACRYLIC WINDOW REPAIR KIT FOR REMOVAL OF SCRATCHES AND BLEMISHES FROM ACRYLIC AIRCRAF","General Services Administration",2021-11-02
"aircraft window","EZCLEAR LLC",30484.72,"MAINTENANCE KIT; AIRCRAFT: REPAIR KIT FOR ACRYLIC AIRCRAFT WINDOWS WHILE STILL ON THE AIRCRAFT.PACKA","General Services Administration",2025-04-21
"leading edge slat","D-J ENGINEERING INC",1346404.64,"NSN:1560-01-090-0539FJ; A-10 LEADING EDGE SLAT ASSEMBLY","Department of Defense",2018-11-28
"trailing edge flap","THE BOEING COMPANY",101425717.92,"PROCUREMENT OF TRAILING EDGE FLAP REVISION 2 A1 KITS (LH) AND A2 KITS (RH)","Department of Defense",2025-03-20
"trailing edge flap","THE BOEING COMPANY",99618739.32,"THE PURPOSE OF THIS BILATERAL ORDER AGAINST BASIC ORDERING AGREEMENT N00019-16-G-0001 IS TO PROCURE ","Department of Defense",2017-06-26
"trailing edge flap","THE BOEING COMPANY",94521598.0,"PROCUREMENT OF TRAILING EDGE FLAP REVISION 2 A1 KITS (LH) AND A2 KITS (RH)","Department of Defense",2024-03-01
"trailing edge flap","THE BOEING COMPANY",78040978.22,"ECP 6213R2 TRAILING EDGE FLAP - REDESIGN","Department of Defense",2013-09-23
"trailing edge flap","THE BOEING COMPANY",40744320.0,"FY21 TRAILING EDGE FLAP REV 2 KITS","Department of Defense",2021-07-23
"propeller governor","DELCOURT AVIATION INC.",2705.56,"REPLACE PROPELLER GOVERNOR ON A CESSNA 206; GOVERNMENT OWNED AIRCRAFT TAIL # N473YC. INCLUDES ALL PA","Department of the Interior",2018-10-31
"propeller blade","HAMILTON SUNDSTRAND CORPORATION",8507510.87,"AIR PROPELLER BLADE/LIQUID PUMP HOUSING","Department of Defense",2021-09-14
"propeller blade","HAMILTON SUNDSTRAND CORPORATION",8062100.0,"PROPELLER BLADE PRODUCTION","Department of Defense",2019-09-25
"propeller blade","HAMILTON SUNDSTRAND CORPORATION",7386053.64,"PROPELLER BLADE PRODUCTION","Department of Defense",2021-08-13
"propeller blade","HAMILTON SUNDSTRAND CORPORATION",5751502.14,"PROPELLER BLADES","Department of Defense",2020-04-10
"propeller blade","DEFENSE MARITIME SOLUTIONS; INC.",3736201.31,"REPAIR OF PROPELLER BLADES","Department of Defense",2015-07-23
"propeller hub","ROLLS-ROYCE MARINE NORTH AMERICA INC.",3370381.0,"COMMERCIAL PRE-REPAIR AND REPAIR OF CONTROLLABLE PITCH PROPELLER HUBS; OD BOXES AND ALL ASSEMBLIES","Department of Defense",2023-04-10
"propeller hub","VIGOR WORKS LLC",1790968.0,"POLAR STAR HUB OVRHL FY24 WORK ITEM 1; QTY (3) CONTROLLABLE PITCH PROPELLER HUB ASSEMBLY OVRHL","Department of Homeland Security",2024-05-01
"propeller hub","ROLLS-ROYCE MARINE NORTH AMERICA INC.",999447.06,"PROPELLER HUB;RH","Department of Defense",2018-09-25
"propeller hub","PROPULSION SYSTEMS; INC.",545277.76,"USNS CATAWBA PROPELLER HUBS SERVICE FY25","Department of Defense",2025-03-25
"propeller hub","PROPULSION SYSTEMS; INC.",350647.36,"N104C/PM4 T.ALLEN USNS CATAWBA PROPELLER HUBS REFURB","Department of Defense",2022-03-14
